
1.e4d5 (925 1005 10 1000 407 -16000) ,2.e6d5 (-1005 -925 9 2147483647 -718 -16000) ,3.a3e7 (925 1005 8 2147483647 614 -16000) ,4.f6f5 (-1005 -925 8 2147483647 -717 -16000) ,5.e7h4 (925 1005 7 2147483647 718 -16000) ,6.e5e4 (-1005 -925 6 2147483647 -706 -16000) ,7.d3e4 (925 1005 5 2147483647 702 -16000) ,8.f5e4 (-1005 -925 4 2147483647 -809 -16000) ,9.g7g4 (925 1005 4 2147483647 716 -16000) ,10.e4d3 (-1005 -925 4 2147483647 -789 -16000) ,11.h4g3 (925 1005 3 2147483647 800 -16000) ,12.d5d4 (-1005 -925 2 2147483647 -974 -16000) 
,,,,,,,,,,11.h4g3 (979 982 3 2147483594 798 979) 
,,,,,,,,,,11.b1c2 (979 982 3 4 798 979) ,12.f5g4 (-980 -979 2 2147483627 -822 -16000) 
,,,,,,,,,,11.h4g5 (979 982 3 0 798 979) ,12.f5g4 (-980 -979 2 2147483627 -803 -16000) 
,,,,,,,,,,11.h4f6 (979 982 3 0 798 979) ,12.f5g4 (-980 -979 2 2147483627 -822 -16000) 
,,,,,,,,,,11.h4e7 (979 982 3 0 798 979) ,12.f5g4 (-980 -979 2 2147483627 -810 -16000) 
,,,,,,,,,,11.h4d8 (979 982 3 0 798 979) ,12.f5g4 (-980 -979 2 2147483627 -795 -16000) 
,,,,,,,,,,11.d2d3 (979 982 3 0 798 979) ,12.f5g4 (-980 -979 2 2147483627 -788 -16000) 
,,,,,,,,,,11.g4a4 (979 982 3 0 798 979) ,12.d5d4 (-980 -979 2 0 -811 -16000) 
,,,,,,,,,,11.g4b4 (979 982 3 0 798 979) ,12.d5d4 (-980 -979 2 2147483542 -814 -16000) 
,,,,,,,,,,,12.f5e5 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,,12.f5e6 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,,12.f5g6 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,,12.d5d4 (-982 -979 2 2147483647 -814 -16000) 
,,,,,,,,,,,12.f5e5 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,,12.f5e6 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,,12.f5g6 (-980 -979 2 0 -814 -980) 
,,,,,,,,,,11.g4c4 (980 982 3 0 798 980) ,12.d5c4 (-981 -980 2 2147483625 -818 -16000) 
,,,,,,,,,,11.g4d4 (980 982 3 0 798 980) ,12.f5e5 (-981 -980 2 0 -802 -16000) 
,,,,,,,,,,11.g4e4 (980 982 3 0 798 980) ,12.f5e4 (-981 -980 2 2147483627 -811 -16000) 
,,,,,,,,,,11.g4f4 (980 982 3 0 798 980) ,12.TTLower (-981 -980 2 -269 -805 -16000) 
,,,,,,,,,,11.g4g5 (980 982 3 0 798 980) ,12.f5f4 (-981 -980 3 2147483647 -793 -16000) 
,,,,,,,,,,11.g4g6 (980 982 3 0 798 980) ,12.f5g6 (-981 -980 2 2147483627 -811 -16000) 
,,,,,,,,,,11.g4g7 (980 982 3 0 798 980) ,12.f5f4 (-981 -980 2 2147483542 -818 -16000) 
,,,,,,,,,,,12.f5e5 (-981 -980 2 2147483541 -818 -991) 
,,,,,,,,,,,12.d5d4 (-981 -980 2 0 -818 -991) 
,,,,,,,,,,,12.f5e4 (-981 -980 2 0 -818 -984) 
,,,,,,,,,,,12.f5e6 (-981 -980 2 0 -818 -984) 
,,,,,,,,,10.e4e5 (-982 -925 4 0 -789 -982) ,11.h4g3 (981 982 3 2147483647 794 -16000) ,12.e5f5 (-982 -981 2 2147483647 -963 -16000) 
,,,,,,,,,,,12.e5e6 (-982 -981 2 0 -963 -995) 
,,,,,,,,,,,12.e5f6 (-982 -981 2 0 -963 -995) 
,,,,,,,,9.h4g3 (982 1005 4 2147483594 716 982) ,10.e4d3 (-983 -982 3 2147483647 -878 -16000) ,11.g3f4 (982 983 2 2147483647 888 -16000) ,12.d3e2 (-983 -982 1 2147483542 -900 -16000) 
,,,,,,,,,,,12.d5d4 (-983 -982 1 0 -900 -986) 
,,,,,,,,,,11.g7g4 (982 983 2 2147483592 888 978) ,12.TTExact (-983 -982 1 -982 -974 -16000) 
,,,,,,,,,,11.g7h7 (982 983 2 2147483592 888 982) 
,,,,,,,,,,11.g3e1 (982 983 2 0 888 982) 
,,,,,,,,,,11.g3h4 (982 983 2 0 888 982) 
,,,,,,,,,,11.g3e5 (982 983 2 0 888 982) 
,,,,,,,,,,11.g3d6 (982 983 2 0 888 982) 
